text,doc_id,query_id,query_type,is_selected,chunk_strategy,lang
The Manhattan Project was a research and development undertaking during World War II that produced the first nuclear weapons. The immediate impact of the success of the Manhattan Project was the surrender of Imperial Japan and the immediate conclusion of World War II following the atomic bombings of Hiroshima and Nagasaki in August 1945.,1185869,1185869,DESCRIPTION,1,semantic,hi
"The immediate impact of the success of the Manhattan Project was the surrender of Imperial Japan and the immediate conclusion of World War II following the atomic bombings of Hiroshima and Nagasaki in August 1945. It also marked the beginning of the nuclear age, leading to profound shifts in global military strategy, international diplomacy, and the start of the Cold War arms race.",1185869,1185869,DESCRIPTION,1,semantic,hi
The Manhattan Project was a research and development undertaking during World War II that produced the first nuclear weapons. The immediate impact of the success of the Manhattan Project was the surrender of Imperial Japan and the immediate conclusion of World War II following the atomic bombings of Hiroshima and Nagasaki in August 1945. It also marked the beginning of,1185869,1185869,DESCRIPTION,1,fixed_sliding,hi
"atomic bombings of Hiroshima and Nagasaki in August 1945. It also marked the beginning of the nuclear age, leading to profound shifts in global military strategy, international diplomacy, and the start of the Cold War arms race.",1185869,1185869,DESCRIPTION,1,fixed_sliding,hi
"[QUERY_TYPE:DESCRIPTION | SELECTED] The Manhattan Project was a research and development undertaking during World War II that produced the first nuclear weapons. The immediate impact of the success of the Manhattan Project was the surrender of Imperial Japan and the immediate conclusion of World War II following the atomic bombings of Hiroshima and Nagasaki in August 1945. It also marked the beginning of the nuclear age, leading to profound shifts in global military strategy, international diplomacy, and the start of the Cold War arms race.",1185869,1185869,DESCRIPTION,1,metadata_aware,hi
The Manhattan Project was a top-secret United States government research project led by J. Robert Oppenheimer and Major General Leslie Groves from 1942 to 1946 that developed the world's first atomic bombs.,1185870,1185870,DESCRIPTION,1,semantic,hi
[QUERY_TYPE:DESCRIPTION | SELECTED] The Manhattan Project was a top-secret United States government research project led by J. Robert Oppenheimer and Major General Leslie Groves from 1942 to 1946 that developed the world's first atomic bombs.,1185870,1185870,DESCRIPTION,1,metadata_aware,hi
New Delhi is the capital of India and the seat of all three branches of the Government of India. It is a massive metropolitan area located in northern India.,1,1,ENTITY,1,semantic,hi
[QUERY_TYPE:ENTITY | SELECTED] New Delhi is the capital of India and the seat of all three branches of the Government of India. It is a massive metropolitan area located in northern India.,1,1,ENTITY,1,metadata_aware,hi
"The Taj Mahal is an ivory-white marble mausoleum on the right bank of the river Yamuna in the Indian city of Agra, Uttar Pradesh. It was commissioned in 1631 by Mughal emperor Shah Jahan.",2,2,LOCATION,1,semantic,hi
"[QUERY_TYPE:LOCATION | SELECTED] The Taj Mahal is an ivory-white marble mausoleum on the right bank of the river Yamuna in the Indian city of Agra, Uttar Pradesh. It was commissioned in 1631 by Mughal emperor Shah Jahan.",2,2,LOCATION,1,metadata_aware,hi
"Machine learning is a field of inquiry devoted to understanding and building methods that 'learn'—that is, methods that leverage data to improve performance on some set of tasks. It is seen as a part of artificial intelligence.",3,3,DESCRIPTION,1,semantic,hi
"[QUERY_TYPE:DESCRIPTION | SELECTED] Machine learning is a field of inquiry devoted to understanding and building methods that 'learn'—that is, methods that leverage data to improve performance on some set of tasks. It is seen as a part of artificial intelligence.",3,3,DESCRIPTION,1,metadata_aware,hi
Alexander Graham Bell was awarded the first US patent for the telephone in 1876. His invention revolutionized global telecommunications.,4,4,PERSON,1,semantic,hi
[QUERY_TYPE:PERSON | SELECTED] Alexander Graham Bell was awarded the first US patent for the telephone in 1876. His invention revolutionized global telecommunications.,4,4,PERSON,1,metadata_aware,hi
"Photosynthesis is a biological process used by plants, algae, and certain bacteria to convert light energy into chemical energy, creating oxygen and glucose from carbon dioxide and water.",5,5,DESCRIPTION,1,semantic,hi
"[QUERY_TYPE:DESCRIPTION | SELECTED] Photosynthesis is a biological process used by plants, algae, and certain bacteria to convert light energy into chemical energy, creating oxygen and glucose from carbon dioxide and water.",5,5,DESCRIPTION,1,metadata_aware,hi
"Bharat is an official and ancient name for India, derived from ancient Sanskrit literature and recognized in Article 1 of the Indian Constitution ('India, that is Bharat').",6,6,ENTITY,1,semantic,hi
"[QUERY_TYPE:ENTITY | SELECTED] Bharat is an official and ancient name for India, derived from ancient Sanskrit literature and recognized in Article 1 of the Indian Constitution ('India, that is Bharat').",6,6,ENTITY,1,metadata_aware,hi
